acceleration_x,acceleration_y,acceleration_z,attitude_pitch,attitude_roll,attitude_yaw,gravity_x,gravity_y,gravity_z,quaternion_x,quaternion_y,quaternion_z,quaternion_w,rotation_x,rotation_y,rotation_z
0.004903759807,0.005683124065,-0.002975165844,0.7594169141,0.04989802607,-0.01991651098,0.03617291152,-0.6884986758,-0.7243349552,0.3707466778,0.01947859455,0,0.9285298124,-0.02051441185,0.01304964535,0.002049223054
0.005625009537,0.01180702448,-0.007609426975,0.7594450474,0.05008332225,-0.01992158771,0.03630615771,-0.6885190606,-0.724308908,0.3707597981,0.01956341968,3.24E-05,0.928522761,0.01397871599,0.005435562227,0.00987035688
0.009314265102,0.007584512234,-0.008755147457,0.7598296005,0.04997983255,-0.01973245135,0.03621796891,-0.6887979507,-0.7240481377,0.3709364449,0.01954689298,0.0001061606454,0.9284525459,0.02805272304,-5.96E-05,0.02020741627
0.009649783373,-0.006042957306,-0.01241379976,0.7604593109,0.04971483531,-0.01946824604,0.03600453585,-0.6892542839,-0.7236244082,0.3712261325,0.0194671271,0.0001880665778,0.9283384372,0.01355407573,-0.01246876363,0.01695173793
0.006959374994,-0.005853235722,-0.01124596596,0.7610372204,0.04945354174,-0.0192416854,0.03579575568,-0.6896728873,-0.7232357264,0.3714921747,0.01938266333,0.0002523965143,0.9282336909,-0.0001090060687,-0.01089803036,0.01641724259
-9.17E-05,-0.004575490952,-0.00880843401,0.7615164934,0.04928828231,-0.01901378122,0.03565994278,-0.690019846,-0.7229114175,0.3717123801,0.01934398765,0.0003338029142,0.9281463092,-0.01150848996,-0.0005825962871,0.01467770431
-0.001889407635,-0.00163602829,-0.006825566292,0.7617198163,0.04923058805,-0.01884039413,0.03561133519,-0.6901670098,-0.7227734327,0.3718050053,0.01934761804,0.0004062207856,0.9281091995,-0.02940573171,0.001872838475,0.01600475796
-0.001222759485,0.001897215843,-0.006031215191,0.7614785004,0.0491624704,-0.01864351359,0.03557028249,-0.6899923682,-0.7229421735,0.3716911642,0.0193547547,0.0004817506804,0.9281545814,-0.02819607779,0.005407332443,0.01326139737
0.0003089606762,0.005478322506,-0.006443023682,0.7609661606,0.0492148162,-0.01857563213,0.03562551364,-0.6896214485,-0.7232932448,0.3714527597,0.01939621234,0.0005162458244,0.9282491339,-0.03077987768,-0.002670035232,0.008481022902
0.003747284412,0.007657289505,-0.003870487213,0.7602879619,0.04921812614,-0.01856258963,0.03565090895,-0.6891301274,-0.723760128,0.3711379063,0.01940618987,0.0005139987544,0.9283748446,-0.02077660151,-0.009494120255,0.006629250944
